"","gender","race","education","state","age","employment","people_in_each_state","number_in_cell","cell_prop_of_division_total"
"244","Male","Black","Undergraduates or similar degree","AL","Age_45-59","employed",7413,43,0.00580062053149872
"245","Male","Black","Undergraduates or similar degree","AL","Age_45-59","unemployed",7413,22,0.00296775934169702
"246","Male","Black","Undergraduates or similar degree","AL","Age_60-74","employed",7413,21,0.0028328611898017
"247","Male","Black","Undergraduates or similar degree","AL","Age_60-74","unemployed",7413,33,0.00445163901254553
"248","Male","Black","Undergraduates or similar degree","AL","Age_75+","employed",7413,2,0.000269796303790638
"249","Male","Black","Undergraduates or similar degree","AL","Age_75+","unemployed",7413,10,0.00134898151895319
"250","Male","Others","Graduates or higher degree","AL","Age_18-29","employed",7413,12,0.00161877782274383
"251","Male","Others","Graduates or higher degree","AL","Age_30-44","employed",7413,49,0.00661000944287063
"252","Male","Others","Graduates or higher degree","AL","Age_30-44","unemployed",7413,1,0.000134898151895319
"253","Male","Others","Graduates or higher degree","AL","Age_45-59","employed",7413,70,0.00944287063267233
"254","Male","Others","Graduates or higher degree","AL","Age_45-59","unemployed",7413,5,0.000674490759476595
"255","Male","Others","Graduates or higher degree","AL","Age_60-74","employed",7413,44,0.00593551868339404
"256","Male","Others","Graduates or higher degree","AL","Age_60-74","unemployed",7413,47,0.00634021313907999
"257","Male","Others","Graduates or higher degree","AL","Age_75+","employed",7413,5,0.000674490759476595
"258","Male","Others","Graduates or higher degree","AL","Age_75+","unemployed",7413,36,0.00485633346823148
"259","Male","Others","Highschool","AL","Age_18-29","employed",7413,152,0.0205045190880885
"260","Male","Others","Highschool","AL","Age_18-29","unemployed",7413,65,0.00876837987319574
"261","Male","Others","Highschool","AL","Age_30-44","employed",7413,179,0.0241467691892621
"262","Male","Others","Highschool","AL","Age_30-44","unemployed",7413,60,0.00809388911371914
"263","Male","Others","Highschool","AL","Age_45-59","employed",7413,218,0.0294077971131795
"264","Male","Others","Highschool","AL","Age_45-59","unemployed",7413,74,0.00998246324025361
"265","Male","Others","Highschool","AL","Age_60-74","employed",7413,88,0.0118710373667881
"266","Male","Others","Highschool","AL","Age_60-74","unemployed",7413,214,0.0288682045055983
"267","Male","Others","Highschool","AL","Age_75+","employed",7413,10,0.00134898151895319
"268","Male","Others","Highschool","AL","Age_75+","unemployed",7413,106,0.0142992041009038
"269","Male","Others","Less than highschool","AL","Age_18-29","employed",7413,6,0.000809388911371914
"270","Male","Others","Less than highschool","AL","Age_18-29","unemployed",7413,1,0.000134898151895319
"271","Male","Others","Less than highschool","AL","Age_30-44","employed",7413,14,0.00188857412653447
"272","Male","Others","Less than highschool","AL","Age_30-44","unemployed",7413,8,0.00107918521516255
"273","Male","Others","Less than highschool","AL","Age_45-59","employed",7413,9,0.00121408336705787
"274","Male","Others","Less than highschool","AL","Age_45-59","unemployed",7413,10,0.00134898151895319
"275","Male","Others","Less than highschool","AL","Age_60-74","employed",7413,5,0.000674490759476595
"276","Male","Others","Less than highschool","AL","Age_60-74","unemployed",7413,22,0.00296775934169702
"277","Male","Others","Less than highschool","AL","Age_75+","employed",7413,1,0.000134898151895319
